id,group,area_red_neurite,area_red_soma,neurite_auto_count_total,neurite_auto_count_red,neurite_auto_count_yellow,soma_auto_count_total,soma_red_auto,soma_yellow_auto,n_projection,axonal termination,avg_area_red_neurite,avg_area_red_soma,avg_area_red_cell,avg_cell_auto_count_red,avg_cell_auto_count_yellow,avg_cell_count_sum,avg_cell_auto_count,avg_neurite_auto_count_total,avg_neurite_auto_count_red,avg_neurite_auto_count_yellow,avg_neurite_count_sum,avg_soma_auto_count_total,avg_soma_red_auto,avg_soma_yellow_auto,avg_soma_count_sum,avg_n_projection,avg_axonal_termination,original_fn,temperature,genotype
881535,unc-33(e204) 20C,1.17,3.07,4,5,0,3,3,0,0,0,1.17,3.07,4.24,8,0,8,7,4,5,0,5,3,3,0,3,0,0,"AMH59 20C, animal 113.oir",20°C,unc-33(e204)
129879,unc-33(e204) 20C,1.44,2.89,12,11,1,15,14,1,1,0,0.72,1.445,2.165,12.5,1,13.5,13.5,6,5.5,0.5,6,7.5,7,0.5,7.5,0.5,0,"AMH59 20C, animal 126.oir",20°C,unc-33(e204)
145889,unc-33(mn407) 20C,0.95,3.42,4,0,0,10,9,3,1,0,0.475,1.71,2.185,4.5,1.5,6,7,2,0,0,0,5,4.5,1.5,6,0.5,0,"AMH57 20C, animal 13.oir",20°C,unc-33(mn407)
199380,unc-33(mn407) 20C,0.2,3.12,2,0,2,13,7,6,0,0,0.1,1.56,1.66,3.5,4,7.5,7.5,1,0,1,1,6.5,3.5,3,6.5,0,0,"AMH57 20C, animal 40.oir",20°C,unc-33(mn407)
216696,unc-33(mn407) 20C,0.35,3.4,3,0,3,13,10,3,0,0,0.175,1.7,1.875,5,3,8,8,1.5,0,1.5,1.5,6.5,5,1.5,6.5,0,0,"AMH57 20C, animal 48.oir",20°C,unc-33(mn407)
240674,unc-33(mn407) 20C,0,4.71,0,0,0,11,3,8,0,0,0,4.71,4.71,3,8,11,11,0,0,0,0,11,3,8,11,0,0,"AMH57 20C, animal 2.oir",20°C,unc-33(mn407)
386080,unc-33(mn407) 20C,0.11,4.31,1,0,1,10,2,8,0,0,0.055,2.155,2.21,1,4.5,5.5,5.5,0.5,0,0.5,0.5,5,1,4,5,0,0,"AMH57 20C, animal 31.oir",20°C,unc-33(mn407)
605950,unc-33(mn407) 20C,0,4.54,0,0,0,9,3,7,0,0,0,2.27,2.27,1.5,3.5,5,4.5,0,0,0,0,4.5,1.5,3.5,5,0,0,"AMH57 20C, animal 5.oir",20°C,unc-33(mn407)
633051,unc-33(mn407) 20C,0,2.18,0,0,0,8,6,2,0,0,0,2.18,2.18,6,2,8,8,0,0,0,0,8,6,2,8,0,0,"AMH57 20C, animal 20.oir",20°C,unc-33(mn407)
766216,unc-33(mn407) 20C,0,3.7,0,0,0,18,13,7,0,0,0,1.85,1.85,6.5,3.5,10,9,0,0,0,0,9,6.5,3.5,10,0,0,"AMH57 20C, animal 34.oir",20°C,unc-33(mn407)
954499,unc-33(mn407) 20C,0,1.77,0,0,0,6,5,1,0,0,0,1.77,1.77,5,1,6,6,0,0,0,0,6,5,1,6,0,0,"AMH57 20C, animal 42.oir",20°C,unc-33(mn407)
975507,unc-33(mn407) 20C,0,0.54,0,0,0,8,5,3,0,0,0,0.54,0.54,5,3,8,8,0,0,0,0,8,5,3,8,0,0,"AMH57 20C, animal 25.oir",20°C,unc-33(mn407)
251133,unc-33(mn407) 20C,0.59,1.41,7,1,6,4,1,3,1,0,0.295,0.705,1,1,4.5,5.5,5.5,3.5,0.5,3,3.5,2,0.5,1.5,2,0.5,0,"AMH57 20C, animal 1_0002.oir",20°C,unc-33(mn407)
